radio,1 Sí,2 No,TOTAL
067600206,644,26,670
067600207,790,18,808
067600208,338,19,357
067600209,392,18,410
067600210,1159,38,1197
067600211,662,26,688
067600212,765,39,804
067600213,916,31,947
067600214,459,14,473
067600215,382,16,398
067600216,352,7,359
067600217,388,6,394
067600301,566,18,584
067600302,1347,46,1393
067600303,846,37,883
067600304,732,37,769
067600305,1059,59,1118
067600306,638,40,678
067600307,232,13,245
067600308,673,37,710
067600309,563,26,589
067600310,214,13,227
067600311,835,41,876
067600312,204,14,218
067600313,1007,39,1046
067600314,596,19,615
067600315,581,18,599
067600316,310,13,323
067600317,756,36,792
067600401,782,32,814
067600501,1592,90,1682
067600502,859,47,906
067600503,1382,71,1453
067600504,795,44,839
067600505,1138,62,1200
067600506,806,44,850
067600507,1038,35,1073
067600508,1552,85,1637
067600509,1262,45,1307
067600510,1680,101,1781
067600511,2202,91,2293
067600512,1025,48,1073
067600601,976,36,1012
067600602,1059,57,1116
067600603,806,41,847
067600604,853,36,889
067600605,817,34,851
067600606,766,40,806
067600607,1036,58,1094
067600608,1148,46,1194
067600609,1420,106,1526
067600610,1327,131,1458
067600701,1884,137,2021
067600702,1665,101,1766
067600703,1245,65,1310
067600704,1149,31,1180
067600705,1420,59,1479
067600706,798,42,840
067600707,750,22,772
067600708,907,57,964
067600709,1151,58,1209
067600710,1484,88,1572
067600801,865,31,896
067600802,1333,60,1393
067600803,945,42,987
067600804,1032,60,1092
067600805,577,19,596
067600806,1016,41,1057
067600807,1611,95,1706
067600808,642,35,677
067600809,1018,46,1064
067600810,1010,42,1052
067600811,771,41,812
067600812,1025,65,1090
067600901,666,37,703
067600902,668,38,706
067600903,1064,57,1121
067600904,717,30,747
067600905,650,26,676
067600906,536,13,549
067600907,1101,45,1146
067600908,608,24,632
067600909,656,29,685
067600910,1200,53,1253
067600911,1347,87,1434
067600912,1329,49,1378
067600913,1367,71,1438
067600914,1119,57,1176
067600915,562,79,641
067600916,782,39,821
067601001,733,49,782
067601002,851,49,900
067601003,575,32,607
067601004,759,61,820
067601005,721,48,769
067601006,139,9,148
067601007,286,23,309
067601008,377,24,401
067601009,838,56,894
067601010,284,18,302
067601011,382,33,415
067601012,1438,127,1565
067601013,1254,98,1352
067601014,1298,94,1392
067601015,1313,102,1415
067601101,671,31,702
067601102,955,54,1009
067601103,1683,102,1785
067601104,1305,88,1393
067601105,610,37,647
067601106,2058,136,2194
067601107,1286,84,1370
067601108,2049,146,2195
067601109,757,59,816
067601110,1377,98,1475
067601111,1748,131,1879
067601112,681,52,733
067601113,716,30,746
067601114,492,15,507
067601115,585,23,608
067601116,698,28,726
067601117,788,74,862
067601201,678,41,719
067601202,743,36,779
067601203,355,16,371
067601204,672,25,697
067601205,908,45,953
067601206,529,43,572
067601207,469,29,498
067601208,889,70,959
067601209,702,71,773
067601210,794,51,845
067601211,1046,66,1112
067601212,1085,87,1172
067601213,16,0,16
067601214,1144,101,1245
067601215,1141,101,1242
067601216,1190,100,1290
067601217,1412,131,1543
067601218,779,120,899
067601219,1031,134,1165
067601301,588,25,613
067601302,1052,66,1118
067601303,509,32,541
067601304,727,38,765
067601305,870,38,908
067601306,1533,135,1668
067601307,825,57,882
067601308,859,67,926
067601309,1308,141,1449
067601310,1484,98,1582
067601311,1158,103,1261
067601312,1069,46,1115
067601313,944,56,1000
067601314,1356,128,1484
067601315,1422,122,1544
067601316,628,49,677
067601401,790,57,847
067601402,893,66,959
067601403,959,64,1023
067601404,1448,130,1578
067601405,1089,96,1185
067601406,1849,224,2073
067601407,1742,198,1940
067601408,953,78,1031
067601409,1199,66,1265
067601410,1142,93,1235
067601411,1013,99,1112
067601412,1471,135,1606
067601413,1440,143,1583
067601414,800,77,877
067601415,377,27,404
067601501,977,61,1038
067601502,745,38,783
067601503,577,36,613
067601504,826,51,877
067601505,1441,174,1615
067601506,778,82,860
067601507,1041,77,1118
067601508,1191,78,1269
067601509,1461,114,1575
067601510,691,76,767
067601511,927,83,1010
067601512,1099,60,1159
067601513,925,62,987
067601514,774,62,836
067601515,619,41,660
067601516,700,35,735
067601601,902,67,969
067601602,868,59,927
067601603,1169,91,1260
067601604,1076,71,1147
067601605,1236,69,1305
067601606,1346,104,1450
067601607,973,109,1082
067601608,1196,88,1284
067601609,835,68,903
067601610,959,63,1022
067601611,726,40,766
067601612,521,20,541
067601613,1093,65,1158
067601614,1049,69,1118
067601701,1433,117,1550
067601702,1229,93,1322
067601703,890,76,966
067601704,996,63,1059
067601705,1223,118,1341
067601706,1271,98,1369
067601707,985,71,1056
067601708,1331,126,1457
067601709,929,67,996
067601710,1019,55,1074
067601711,897,54,951
067601712,1023,77,1100
067601713,992,60,1052
067601714,860,63,923
067601715,1123,79,1202
067601716,773,44,817
067601801,1051,79,1130
067601802,953,77,1030
067601803,1284,74,1358
067601804,1435,149,1584
067601805,812,72,884
067601806,831,67,898
067601807,977,85,1062
067601808,1370,110,1480
067601809,1034,82,1116
067601810,964,70,1034
067601811,1053,98,1151
067601812,1340,100,1440
067601813,915,74,989
067601814,1005,95,1100
067601815,933,87,1020
067601816,893,82,975
068050101,621,42,663
068050102,598,46,644
068050103,707,75,782
068050104,877,66,943
068050105,330,38,368
068050106,456,54,510
068050107,740,95,835
068050108,467,55,522
068050201,314,30,344
068050202,565,63,628
068050203,1137,128,1265
068050204,1196,116,1312
068050205,1447,136,1583
068050301,225,7,232
068050302,415,33,448
068050303,987,92,1079
068050304,2011,185,2196
068050305,1310,138,1448
068050306,835,50,885
068050307,1286,141,1427
068050308,815,65,880
068050309,530,50,580
068050310,472,29,501
068050311,1253,120,1373
068050401,682,57,739
068050402,738,61,799
068050403,1718,173,1891
068050404,1417,135,1552
068050405,1625,182,1807
068050406,1018,70,1088
068050407,2284,204,2488
068050408,840,68,908
068050409,1483,78,1561
068050410,1550,98,1648
068050411,1264,159,1423
068050412,2219,222,2441
068050501,969,40,1009
068050502,960,73,1033
068050503,1156,46,1202
068050504,633,29,662
068050505,779,52,831
068050506,872,47,919
068050507,1435,85,1520
068050508,1037,49,1086
068050509,732,36,768
068050510,759,34,793
068050511,1517,103,1620
068050512,1414,123,1537
068050513,1284,116,1400
068050601,1867,223,2090
068050602,726,33,759
068050603,1022,58,1080
068050604,1035,37,1072
068050605,541,26,567
068050606,549,23,572
068050607,275,11,286
068050608,711,42,753
068050609,879,35,914
068050610,849,33,882
068050611,832,29,861
068050612,901,32,933
068050701,448,17,465
068050702,718,39,757
068050703,1002,46,1048
068050704,756,54,810
068050705,896,56,952
068050706,445,32,477
068050707,408,17,425
068050708,70,8,78
068050709,226,11,237
068050710,93,7,100
068050711,84,4,88
068050801,367,14,381
068050802,199,8,207
068050803,647,18,665
068050804,487,23,510
068050805,490,13,503
068050806,833,50,883
068050807,1407,94,1501
068050808,1644,111,1755
068050809,1542,157,1699
068050810,688,61,749
068050811,1534,140,1674
068050812,767,74,841
068050813,1780,154,1934
068050814,1417,135,1552
068050901,3,0,3
068050902,884,68,952
068050903,936,58,994
068050904,1857,115,1972
068050905,1977,213,2190
068050906,2019,236,2255
068051001,1507,83,1590
068051002,876,62,938
068051003,908,69,977
068051004,1624,100,1724
068051005,805,32,837
068051006,1255,93,1348
068051007,1416,129,1545
068051008,1805,214,2019
068051009,1657,166,1823
068051010,1301,161,1462
068051011,1147,87,1234
068051012,1136,76,1212
068051013,903,57,960
068051101,1182,83,1265
068051102,755,43,798
068051103,1971,62,2033
068051104,1594,78,1672
068051105,1267,103,1370
068051106,1092,73,1165
068051107,1335,140,1475
068051108,1956,233,2189
068051109,1465,157,1622
068051110,1647,164,1811
068051201,705,33,738
068051202,900,62,962
068051203,947,26,973
068051204,828,40,868
068051205,796,44,840
068051206,617,14,631
068051207,799,39,838
068051208,711,39,750
068051209,540,20,560
068051210,1688,82,1770
068051211,993,39,1032
068051212,1140,26,1166
068051213,775,37,812
068051214,840,47,887
068051301,1222,174,1396
068051302,1331,135,1466
068051303,1516,117,1633
068051304,1209,55,1264
068051305,1064,46,1110
068051306,879,73,952
068051307,905,47,952
068051308,1828,134,1962
068051309,968,89,1057
068051310,765,56,821
068051311,1438,110,1548
068051312,1257,83,1340
068051313,1139,70,1209
068051314,1007,70,1077
068051315,818,37,855
068051316,1048,63,1111
068051317,779,45,824
068051318,1425,58,1483
068051401,1292,102,1394
068051402,868,72,940
068051403,1138,67,1205
068051404,1168,70,1238
068051405,1555,77,1632
068051406,985,59,1044
068051407,927,71,998
068051408,949,64,1013
068051409,952,72,1024
068051410,898,56,954
068051411,1072,59,1131
068051412,1061,66,1127
068051413,1217,103,1320
068051414,1245,105,1350
068051415,1175,95,1270
068051416,1704,107,1811
068051501,801,23,824
068051502,781,26,807
068051503,1051,46,1097
068051504,1014,48,1062
068051505,1043,60,1103
068051506,1502,105,1607
068051507,1169,72,1241
068051508,1378,71,1449
068051509,1119,64,1183
068051510,1120,48,1168
068051511,1039,61,1100
068051512,693,46,739
068051513,1103,64,1167
068051601,1482,148,1630
068051602,1693,106,1799
068051603,1073,69,1142
068051604,1568,147,1715
068051605,781,47,828
068051606,1034,65,1099
068051607,1091,61,1152
068051608,1111,98,1209
068051609,1145,56,1201
068051610,1843,175,2018
068051611,1119,59,1178
068051701,1291,99,1390
068051702,1214,51,1265
068051703,655,31,686
068051704,775,42,817
068051705,1202,68,1270
068051706,1339,59,1398
068051707,1428,94,1522
068051708,1381,88,1469
068051709,1591,106,1697
068051710,1411,82,1493
068051711,1404,106,1510
068051801,745,39,784
068051802,757,46,803
068051803,1398,64,1462
068051804,1199,56,1255
068051805,1085,37,1122
068051806,825,30,855
068051807,785,54,839
068051808,1235,66,1301
068051809,1267,54,1321
068051810,1268,67,1335
068051811,1264,52,1316
068051812,1474,164,1638
068051901,791,47,838
068051902,908,33,941
068051903,906,19,925
068051904,718,30,748
068051905,928,55,983
068051906,1515,72,1587
068051907,760,27,787
068051908,654,29,683
068051909,998,44,1042
068051910,667,32,699
068051911,1399,70,1469
068051912,1247,43,1290
068051913,166,6,172
068051914,760,51,811
068052001,460,22,482
068052002,835,63,898
068052003,696,43,739
068052004,1686,119,1805
068052005,1285,72,1357
068052006,1261,160,1421
068052007,1936,198,2134
068052008,840,68,908
068052009,1141,72,1213
068052010,1073,70,1143
068052011,1280,102,1382
068052012,954,56,1010
068052013,1081,84,1165
068052014,915,45,960
068052101,994,92,1086
068052102,931,59,990
068052103,1676,139,1815
068052104,1804,142,1946
068052105,1089,75,1164
068052106,1076,92,1168
068052107,918,139,1057
068052108,1003,76,1079
068052109,1061,63,1124
068052110,1053,87,1140
068052111,1195,106,1301
068052112,1148,89,1237
068052113,1198,113,1311
068052114,966,66,1032
068052201,1485,122,1607
068052202,1651,154,1805
068052203,1523,126,1649
068052204,1666,153,1819
068052205,1689,143,1832
068052206,1355,85,1440
068052207,1201,105,1306
068052208,1046,62,1108
068052209,1384,63,1447
068052210,842,46,888
068052301,1138,110,1248
068052302,1390,135,1525
068052303,1473,139,1612
068052304,1481,106,1587
068052305,1141,115,1256
068052306,976,59,1035
068052307,1580,156,1736
068052308,793,57,850
068052309,747,55,802
068052310,1322,115,1437
068052311,705,46,751
068052312,4722,481,5203
068052313,1037,134,1171
068052314,1553,164,1717
068052315,1272,119,1391
068052401,1316,73,1389
068052402,1323,82,1405
068052403,947,61,1008
068052404,1118,61,1179
068052405,1660,136,1796
068052406,699,49,748
068052407,581,72,653
068052408,1136,88,1224
068052409,1365,136,1501
068052410,1373,95,1468
068052501,962,100,1062
068052502,946,79,1025
068052503,458,36,494
068052504,372,28,400
068052505,1298,108,1406
068052506,1465,125,1590
068052507,2073,222,2295
068052508,934,57,991
068052509,768,33,801
068052510,763,54,817
068052511,1100,67,1167
068052512,1389,123,1512
068052601,110,9,119
068052602,173,15,188
068052603,339,26,365
068052604,161,9,170
068052605,116,6,122
068052606,106,5,111
068052607,54,7,61
068052608,197,11,208
068052609,757,51,808
068052610,532,32,564
068052611,267,17,284
068052612,208,12,220
068052613,189,10,199
068052614,103,7,110
068052615,313,18,331
068052616,132,8,140
068052617,34,3,37
068052618,203,19,222
068052619,280,28,308
068052620,421,21,442
068052621,180,13,193
068400101,403,25,428
068400102,1084,66,1150
068400103,1677,160,1837
068400104,918,71,989
068400105,1634,123,1757
068400106,1311,107,1418
068400107,1415,139,1554
068400108,684,93,777
068400109,1027,68,1095
068400110,1406,94,1500
068400111,995,67,1062
068400112,1119,69,1188
068400113,1707,107,1814
068400201,1236,87,1323
068400202,1340,83,1423
068400203,875,35,910
068400204,854,51,905
068400205,923,61,984
068400206,883,24,907
068400207,745,31,776
068400208,654,20,674
068400209,1067,56,1123
068400210,788,42,830
068400211,885,42,927
068400212,1166,62,1228
068400301,1013,42,1055
068400302,1212,72,1284
068400303,916,56,972
068400304,1197,73,1270
068400305,1236,72,1308
068400306,1140,66,1206
068400307,1253,79,1332
068400308,1435,86,1521
068400309,902,51,953
068400310,802,44,846
068400311,1417,91,1508
068400312,1326,86,1412
068400401,1531,122,1653
068400402,1575,215,1790
068400403,883,66,949
068400404,732,37,769
068400405,814,50,864
068400406,785,52,837
068400407,883,43,926
068400408,420,21,441
068400409,811,41,852
068400410,1347,131,1478
068400411,957,60,1017
068400412,644,25,669
068400413,1110,62,1172
068400414,872,56,928
068400415,1077,103,1180
068400416,965,64,1029
068400417,1285,64,1349
068400501,1144,64,1208
068400502,836,38,874
068400503,905,55,960
068400504,777,59,836
068400505,843,44,887
068400506,618,30,648
068400507,832,32,864
068400508,1175,39,1214
068400509,682,22,704
068400510,883,37,920
068400511,1361,88,1449
068400512,1219,75,1294
068400601,1200,219,1419
068400602,611,18,629
068400603,790,40,830
068400604,932,40,972
068400605,1058,32,1090
068400606,1150,46,1196
068400607,796,27,823
068400608,537,28,565
068400609,615,29,644
068400610,662,32,694
068400611,556,24,580
068400612,573,31,604
068400613,892,55,947
068400614,1072,58,1130
068400615,880,56,936
068400616,928,51,979
068400701,1170,66,1236
068400702,1086,47,1133
068400703,803,29,832
068400704,811,28,839
068400705,695,27,722
068400706,752,33,785
068400707,873,35,908
068400708,984,46,1030
068400709,929,32,961
068400710,1032,34,1066
068400711,1066,43,1109
068400801,776,27,803
068400802,568,18,586
068400803,525,20,545
068400804,850,50,900
068400805,968,45,1013
068400806,638,34,672
068400807,733,29,762
068400808,642,31,673
068400809,1094,42,1136
068400810,615,29,644
068400811,847,26,873
068400812,1034,45,1079
068400901,891,33,924
068400902,574,22,596
068400903,794,27,821
068400904,674,21,695
068400905,535,15,550
068400906,691,23,714
068400907,711,25,736
068400908,605,20,625
068400909,611,13,624
068400910,796,19,815
068401001,1060,47,1107
068401002,1152,40,1192
068401003,539,21,560
068401004,679,22,701
068401005,557,16,573
068401006,689,23,712
068401007,714,22,736
068401008,519,20,539
068401009,379,8,387
068401010,562,16,578
068401011,600,15,615
068401012,482,11,493
068401013,528,20,548
068401101,745,22,767
068401102,696,22,718
068401103,482,19,501
068401104,289,11,300
068401105,754,39,793
068401106,1035,39,1074
068401107,702,37,739
068401108,1128,34,1162
068401109,770,32,802
068401110,1085,46,1131
068401111,955,45,1000
068401112,862,49,911
068401201,959,32,991
068401202,995,41,1036
068401203,965,39,1004
068401204,514,22,536
068401205,833,44,877
068401206,16,1,17
068401207,589,25,614
068401208,630,26,656
068401209,761,32,793
068401210,830,39,869
068401211,1005,33,1038
068401301,877,37,914
068401302,537,19,556
068401303,1049,41,1090
068401304,882,41,923
068401305,740,23,763
068401306,591,23,614
068401307,495,17,512
068401308,563,15,578
068401309,838,25,863
068401310,1137,45,1182
068401311,716,34,750
068401312,891,28,919
068401313,439,12,451
068401314,550,25,575
068401401,922,41,963
068401402,603,22,625
068401403,662,32,694
068401404,1238,45,1283
068401405,816,22,838
068401406,653,20,673
068401407,758,23,781
068401408,439,18,457
068401409,818,29,847
068401410,864,31,895
068401501,560,27,587
068401502,1001,26,1027
068401503,653,32,685
068401504,650,17,667
068401505,920,34,954
068401506,930,26,956
068401507,465,19,484
068401508,516,16,532
068401509,841,38,879
068401510,904,26,930
068401511,463,10,473
068401512,523,14,537
068401513,832,22,854
068401514,845,36,881
068401601,665,31,696
068401602,705,22,727
068401603,763,21,784
068401604,737,31,768
068401605,822,34,856
068401606,783,26,809
068401607,596,25,621
068401608,825,34,859
068401609,756,25,781
068401610,573,23,596
068401611,479,14,493
068401612,523,26,549
068401613,735,15,750
068401614,429,20,449
068401701,673,34,707
068401702,1070,34,1104
068401703,877,39,916
068401704,665,35,700
068401705,839,19,858
068401706,1119,33,1152
068401707,604,23,627
068401708,799,36,835
068401709,534,33,567
068401710,665,39,704
068401711,532,15,547
068401712,594,26,620
068401713,534,24,558
068401801,404,24,428
068401802,667,16,683
068401803,462,19,481
068401804,459,19,478
068401805,411,19,430
068401806,869,32,901
068401807,968,22,990
068401808,1084,37,1121
068401809,951,54,1005
068401810,993,47,1040
068401811,592,21,613
068401812,599,21,620
068401813,921,43,964
068401814,679,45,724
068401901,440,17,457
068401902,594,26,620
068401903,859,29,888
068401904,1164,32,1196
068401905,899,38,937
068401906,1124,41,1165
068401907,724,15,739
068401908,923,45,968
068401909,702,39,741
068401910,570,16,586
068401911,945,38,983
068401912,846,36,882
068402001,760,32,792
068402002,787,27,814
068402003,1049,38,1087
068402004,942,40,982
068402005,872,46,918
068402006,883,44,927
068402007,793,40,833
068402008,731,31,762
068402009,916,52,968
068402010,686,31,717
068402011,1029,69,1098
068402101,720,13,733
068402102,585,17,602
068402103,431,18,449
068402104,654,19,673
068402105,662,32,694
068402106,1064,31,1095
068402107,1008,44,1052
068402108,960,63,1023
068402109,1186,79,1265
068402110,1221,63,1284
068402201,1172,85,1257
068402202,905,29,934
068402203,973,54,1027
068402204,881,32,913
068402205,785,52,837
068402206,884,45,929
068402207,1041,39,1080
068402208,1121,70,1191
068402301,694,29,723
068402302,787,29,816
068402303,469,24,493
068402304,619,22,641
068402305,981,46,1027
068402306,542,25,567
068402307,533,24,557
068402308,1358,104,1462
068402309,652,30,682
068402310,873,34,907
068402401,967,31,998
068402402,771,28,799
068402403,542,23,565
068402404,684,38,722
068402405,819,64,883
068402406,845,43,888
068402407,845,40,885
068402408,656,37,693
068402409,686,43,729
068402410,488,21,509
068402501,398,31,429
068402502,191,14,205
068402503,530,48,578
068402504,757,88,845
068402505,467,46,513
068402506,1138,123,1261
068402507,408,43,451
068402508,475,50,525
068402509,508,43,551
068402510,828,72,900
068402511,734,47,781
068402601,1535,126,1661
068402602,3172,254,3426
068402603,1105,82,1187
068402604,459,24,483
068402605,934,54,988
068402606,2941,176,3117
068402607,504,42,546
068402608,14,0,14
068402701,680,27,707
068402702,1109,69,1178
068402703,1003,67,1070
068402704,1023,58,1081
068402705,249,7,256
068402706,374,10,384
068402707,716,22,738
068402708,800,36,836
068402709,772,36,808
068402710,947,51,998
068402711,647,28,675
068402712,915,52,967
068402713,791,25,816
068402801,925,66,991
068402802,859,49,908
068402803,622,45,667
068402804,777,55,832
068402805,1167,56,1223
068402806,852,44,896
068402807,1120,51,1171
068402808,662,18,680
068402809,857,46,903
068402810,658,46,704
068402811,963,67,1030
068402901,925,44,969
068402902,699,36,735
068402903,1411,94,1505
068402904,870,30,900
068402905,1075,46,1121
068402906,647,29,676
068402907,913,41,954
068402908,772,31,803
068402909,952,35,987
068402910,1065,37,1102
068402911,503,30,533
068403001,697,15,712
068403002,438,23,461
068403003,724,33,757
068403004,789,37,826
068403005,450,22,472
068403006,620,24,644
068403007,636,28,664
068403008,888,61,949
068403009,598,18,616
068403010,493,16,509
068403011,765,21,786
068403012,441,13,454
068403013,452,17,469
068403101,333,33,366
068403102,904,31,935
068403103,827,31,858
068403104,685,28,713
068403105,905,35,940
068403106,921,53,974
068403107,780,18,798
068403108,854,27,881
068403109,989,36,1025
068403110,743,30,773
068403201,387,16,403
068403202,807,28,835
068403203,635,22,657
068403204,833,28,861
068403205,816,42,858
068403206,691,30,721
068403207,807,33,840
068403208,878,31,909
068403209,829,33,862
068610101,648,29,677
068610102,445,15,460
068610103,547,13,560
068610104,715,22,737
068610105,728,26,754
068610106,513,28,541
068610107,533,7,540
068610108,683,36,719
068610109,667,27,694
068610110,519,15,534
068610111,481,10,491
068610201,743,50,793
068610202,556,17,573
068610203,343,16,359
068610204,874,23,897
068610205,448,13,461
068610206,393,17,410
068610207,521,11,532
068610208,282,8,290
068610209,823,28,851
068610210,873,33,906
068610211,706,31,737
068610212,497,21,518
068610301,640,22,662
068610302,555,22,577
068610303,737,16,753
068610304,737,20,757
068610305,508,19,527
068610306,464,11,475
068610307,484,21,505
068610308,571,6,577
068610309,318,8,326
068610310,435,8,443
068610311,581,11,592
068610401,460,15,475
068610402,476,12,488
068610403,492,12,504
068610404,312,3,315
068610405,504,16,520
068610406,573,28,601
068610407,741,39,780
068610408,377,11,388
068610409,560,19,579
068610410,671,12,683
068610411,453,15,468
068610501,577,14,591
068610502,406,8,414
068610503,536,12,548
068610504,662,27,689
068610505,600,15,615
068610506,0,0,0
068610507,497,11,508
068610508,978,27,1005
068610509,637,13,650
068610601,231,7,238
068610602,400,11,411
068610603,670,28,698
068610604,509,15,524
068610605,273,5,278
068610606,556,21,577
068610607,522,13,535
068610608,317,6,323
068610609,567,9,576
068610610,857,35,892
068610611,317,16,333
068610701,734,27,761
068610702,476,15,491
068610703,489,16,505
068610704,683,21,704
068610705,684,27,711
068610706,436,24,460
068610707,658,15,673
068610708,645,18,663
068610709,797,36,833
068610801,683,20,703
068610802,731,25,756
068610803,537,21,558
068610804,767,24,791
068610805,412,10,422
068610806,564,23,587
068610807,437,18,455
068610808,625,14,639
068610809,393,12,405
068610810,781,33,814
068610811,466,10,476
068610901,786,29,815
068610902,427,14,441
068610903,548,22,570
068610904,593,18,611
068610905,998,36,1034
068610906,823,25,848
068610907,793,21,814
068610908,567,16,583
068610909,287,9,296
068610910,640,20,660
068610911,1077,44,1121
068610912,790,25,815
068611001,893,36,929
068611002,985,44,1029
068611003,1007,34,1041
068611004,922,33,955
068611005,885,35,920
068611006,851,38,889
068611007,799,35,834
068611008,843,42,885
068611009,732,24,756
068611010,808,16,824
068611101,899,33,932
068611102,682,23,705
068611103,751,28,779
068611104,594,14,608
068611105,573,24,597
068611106,880,33,913
068611107,1030,47,1077
068611108,607,23,630
068611109,766,26,792
068611110,585,21,606
068611201,619,20,639
068611202,699,25,724
068611203,465,23,488
068611204,504,22,526
068611205,849,26,875
068611206,625,24,649
068611207,817,47,864
068611208,852,24,876
068611209,805,27,832
068611301,390,13,403
068611302,491,19,510
068611303,502,15,517
068611304,631,38,669
068611305,670,15,685
068611306,899,26,925
068611307,656,16,672
068611308,626,14,640
068611309,904,19,923
068611401,555,16,571
068611402,472,15,487
068611403,587,21,608
068611404,770,43,813
068611405,505,16,521
068611406,464,17,481
068611407,811,25,836
068611408,698,19,717
068611409,883,43,926
068611410,610,28,638
068611411,324,12,336
068611412,427,7,434
068611501,486,16,502
068611502,554,15,569
068611503,929,29,958
068611504,213,8,221
068611505,351,12,363
068611506,669,23,692
068611507,703,28,731
068611508,797,27,824
068611509,491,11,502
068611510,950,35,985
068611601,541,21,562
068611602,487,21,508
068611603,702,32,734
068611604,841,21,862
068611605,811,31,842
068611606,766,25,791
068611607,836,34,870
068611608,725,20,745
068611609,985,34,1019
068611610,845,38,883
068611611,784,39,823
068611701,875,40,915
068611702,854,29,883
068611703,698,27,725
068611704,581,36,617
068611705,688,30,718
068611706,710,30,740
068611707,946,50,996
068611708,865,53,918
068611709,848,29,877
068611801,983,42,1025
068611802,960,29,989
068611803,825,33,858
068611804,650,29,679
068611805,514,25,539
068611806,906,29,935
068611807,811,29,840
068611808,807,28,835
068611809,846,29,875
068611810,968,32,1000
068611901,738,17,755
068611902,268,7,275
068611903,676,22,698
068611904,751,32,783
068611905,915,32,947
068611906,793,25,818
068611907,875,27,902
068611908,740,16,756
068611909,802,41,843
068611910,732,22,754
068611911,873,36,909
068611912,985,37,1022
068611913,594,19,613
068611914,718,18,736
068611915,501,20,521
068612001,923,11,934
068612002,677,6,683
068612003,870,13,883
068612004,761,9,770
068612005,828,6,834
068612006,877,10,887
068612007,760,11,771
068612008,574,8,582
068612101,926,37,963
068612102,740,24,764
068612103,824,21,845
068612104,832,39,871
068612105,756,24,780
068612106,944,30,974
068612107,906,31,937
068612108,1034,39,1073
068612109,719,22,741
068612201,820,36,856
068612202,925,27,952
068612203,879,28,907
068612204,769,38,807
068612205,912,36,948
068612206,835,31,866
068612207,929,37,966
068612208,977,33,1010
068612209,603,19,622
068612210,616,20,636
068612211,556,20,576
068612212,530,22,552
068612301,1215,78,1293
068612302,1060,58,1118
068612303,1138,46,1184
068612304,995,105,1100
068612305,1279,111,1390
068612306,452,22,474
068612307,1163,60,1223
068612308,606,28,634
068612309,711,37,748
068612401,1056,51,1107
068612402,1081,41,1122
068612403,679,34,713
068612404,645,24,669
068612405,1047,32,1079
068612406,754,27,781
068612407,1165,55,1220
068612408,1029,34,1063
068612409,850,41,891
068612410,879,36,915
068612411,1165,50,1215
068612501,620,22,642
068612502,1210,46,1256
068612503,1022,41,1063
068612504,662,45,707
068612505,838,37,875
068612506,796,37,833
068612507,768,30,798
068612508,999,40,1039
068612509,990,26,1016
068612601,1024,45,1069
068612602,770,27,797
068612603,695,21,716
068612604,796,31,827
068612605,819,31,850
068612606,823,29,852
068612607,841,27,868
068612608,1099,41,1140
068612609,855,38,893
068612610,832,38,870
068612701,875,27,902
068612702,775,27,802
068612703,756,35,791
068612704,645,24,669
068612705,678,29,707
068612706,787,30,817
068612707,857,24,881
068612708,887,37,924
068612709,688,24,712
068612710,775,27,802
068612801,445,18,463
068612802,900,29,929
068612803,650,20,670
068612804,746,40,786
068612805,635,26,661
068612806,694,22,716
068612807,677,28,705
068612808,492,19,511
068612809,680,22,702
068612810,765,25,790
068612901,1463,66,1529
068612902,739,31,770
068612903,892,33,925
068612904,696,30,726
068612905,799,40,839
068612906,519,27,546
068612907,755,49,804
068612908,1644,92,1736
068612909,704,60,764
068612910,862,28,890
068612911,670,30,700
068612912,461,14,475
068613001,731,35,766
068613002,999,65,1064
068613003,1130,99,1229
068613004,1557,184,1741
068613005,789,59,848
068613006,783,82,865
068613007,944,76,1020
068613008,200,8,208
068613009,1326,76,1402
068613010,561,20,581
068613011,712,43,755
068613012,912,32,944
068613101,1151,54,1205
068613102,1468,44,1512
068613103,906,38,944
068613104,1751,50,1801
068613105,639,20,659
068613106,941,42,983
068613107,1194,41,1235
068613108,1158,59,1217
068613109,946,42,988
068613110,1096,57,1153
068613201,499,9,508
068613202,976,6,982
068613203,175,5,180
068613204,225,0,225
068613205,328,3,331
068613206,659,17,676
068613207,1012,23,1035
068613208,607,11,618
068613209,460,19,479
068613210,896,13,909
068613301,881,5,886
068613302,904,19,923
068613303,914,7,921
068613304,592,14,606
068613305,893,12,905
068613306,640,7,647
068613307,830,6,836
068613308,809,10,819
068613309,934,11,945
068613310,987,12,999
060070101,437,27,464
060070102,627,32,659
060070103,24,1,25
060070104,2,0,2
060070105,29,2,31
060070106,14,0,14
060070107,197,14,211
060070108,19,4,23
060070109,13,5,18
060070110,18,1,19
060070111,16,1,17
060070112,13,0,13
060070113,33,2,35
060070114,53,3,56
060070115,351,28,379
060070201,30,2,32
060070202,16,0,16
060070203,35,3,38
060070204,15,0,15
060070205,15,2,17
060070206,32,1,33
060070207,3,0,3
060070208,9,0,9
060070209,14,1,15
060070301,13,0,13
060070302,19,1,20
060070303,40,5,45
060070304,28,3,31
060070305,6,0,6
060070306,52,9,61
060070307,15,1,16
060070308,21,2,23
060070401,24,0,24
060070402,170,9,179
060070403,520,25,545
060070404,647,30,677
060070405,771,47,818
060070406,363,20,383
060070407,453,52,505
060070408,19,1,20
060070409,13,0,13
