radio,1 Asiste,2 Asistió,3 Nunca asistió,TOTAL
062601405,339,768,16,1123
062601406,325,898,8,1231
062601407,272,576,13,861
062601408,448,785,23,1256
062601409,395,797,21,1213
062601410,397,832,31,1260
062601411,342,757,17,1116
062601412,172,510,12,694
062601413,278,641,24,943
062601501,611,956,64,1631
062601502,407,752,21,1180
062601503,254,412,30,696
062601504,291,543,19,853
062601505,457,715,34,1206
062601506,409,672,29,1110
062601507,399,609,38,1046
062601508,355,623,53,1031
062601509,566,845,64,1475
062601510,661,1024,62,1747
062601511,616,985,80,1681
062601512,303,628,36,967
062601513,394,768,25,1187
062601514,336,554,35,925
062601515,393,687,44,1124
062601516,444,709,42,1195
062601517,669,1049,41,1759
062601518,573,965,72,1610
062601519,372,672,48,1092
062601601,456,900,28,1384
062601602,386,666,24,1076
062601603,563,850,33,1446
062601604,386,621,28,1035
062601605,451,779,21,1251
062601606,433,821,39,1293
062601607,544,861,57,1462
062601608,188,269,12,469
062601609,448,688,76,1212
062601610,376,646,33,1055
062601611,512,650,45,1207
062601612,476,738,50,1264
062601613,400,652,53,1105
062601614,574,1042,66,1682
062601615,573,949,46,1568
062601616,441,739,36,1216
062601617,460,915,33,1408
062601701,397,970,89,1456
062601702,21,38,7,66
062601703,923,1934,190,3047
062601704,357,548,47,952
062601705,71,120,7,198
062601706,655,934,21,1610
062601707,93,106,0,199
062601708,331,396,4,731
062601709,108,171,1,280
062601710,93,209,0,302
062601711,112,175,1,288
062601712,150,228,0,378
062601713,962,1275,6,2243
062601714,64,100,2,166
062700101,238,377,5,620
062700102,166,447,1,614
062700103,1831,1251,20,3102
062700104,507,711,81,1299
062700105,122,330,1,453
062700106,348,350,7,705
062700201,772,1015,67,1854
062700202,346,531,47,924
062700203,300,591,31,922
062700204,334,633,19,986
062700205,271,598,14,883
062700206,412,946,35,1393
062700207,407,892,40,1339
062700208,678,1066,71,1815
062700209,643,1009,63,1715
062700210,523,931,41,1495
062700211,574,962,41,1577
062700212,571,894,58,1523
062700213,426,540,47,1013
062700214,358,583,24,965
062700215,347,566,49,962
062700216,465,751,40,1256
062700217,448,871,31,1350
062700301,260,520,17,797
062700302,336,546,22,904
062700303,563,980,52,1595
062700304,656,1122,58,1836
062700305,593,915,48,1556
062700306,418,843,21,1282
062700307,269,591,19,879
062700308,402,832,15,1249
062700309,525,861,33,1419
062700310,484,814,24,1322
062700311,331,723,24,1078
062700312,375,931,22,1328
062700313,257,559,10,826
062700314,238,583,21,842
062700315,171,508,11,690
062700316,200,555,12,767
062700401,179,350,20,549
062700402,285,534,22,841
062700403,306,671,6,983
062700404,432,785,18,1235
062700405,484,837,34,1355
062700406,572,1018,33,1623
062700407,316,671,17,1004
062700408,136,384,7,527
062700409,328,802,29,1159
062700410,383,760,28,1171
062700411,610,1015,47,1672
062700412,379,771,20,1170
062700413,399,753,40,1192
062700414,453,727,34,1214
062700501,313,563,19,895
062700502,265,562,18,845
062700503,374,606,26,1006
062700504,725,966,81,1772
062700505,531,822,58,1411
062700506,545,801,44,1390
062700507,389,813,22,1224
062700508,571,897,59,1527
062700509,11,25,3,39
062700510,539,879,48,1466
062700511,254,488,32,774
062700512,210,468,32,710
062700601,310,605,36,951
062700602,170,356,3,529
062700603,83,209,1,293
062700604,175,278,1,454
062700605,406,695,53,1154
062700606,496,841,87,1424
062700607,512,819,58,1389
062700608,507,832,54,1393
062700609,389,735,60,1184
062700610,795,1110,132,2037
062700611,490,850,73,1413
062700612,140,234,4,378
062700613,112,211,4,327
062700614,302,482,23,807
062700615,257,403,31,691
062700616,482,672,92,1246
062700617,574,982,143,1699
062700701,364,542,32,938
062700702,296,441,32,769
062700703,412,689,35,1136
062700704,189,394,10,593
062700705,462,684,31,1177
062700706,396,527,38,961
062700707,459,895,25,1379
062700708,177,502,5,684
062700709,206,496,16,718
062700710,246,434,7,687
062700711,512,781,45,1338
062700712,680,954,120,1754
062700713,386,576,52,1014
062700714,385,697,37,1119
062700715,334,567,37,938
062700716,468,670,102,1240
062700717,535,761,85,1381
062700718,594,1050,107,1751
062700719,518,848,128,1494
062700801,68,146,5,219
062700802,39,81,0,120
062700803,80,138,3,221
062700804,22,32,2,56
062700805,36,100,5,141
062700806,29,61,1,91
062700807,63,142,3,208
062700808,430,789,44,1263
062700809,418,509,42,969
062700810,376,521,36,933
062700811,371,684,14,1069
062700812,20,47,1,68
062700813,54,119,0,173
062700814,130,229,9,368
062700815,167,333,25,525
062700816,262,380,29,671
062700817,41,77,7,125
062700901,928,1325,153,2406
062700902,552,805,60,1417
062700903,389,637,45,1071
062700904,265,596,17,878
062700905,366,660,41,1067
062700906,502,729,77,1308
062700907,195,509,18,722
062700908,238,466,14,718
062700909,680,783,93,1556
062700910,457,776,50,1283
062700911,267,494,17,778
062700912,291,596,23,910
062700913,331,633,43,1007
062701001,387,787,7,1181
062701002,813,1238,112,2163
062701003,901,1283,94,2278
062701004,610,1000,46,1656
062701005,444,821,50,1315
062701006,502,779,48,1329
062701007,514,820,57,1391
062701008,461,772,66,1299
062701009,471,777,69,1317
062701010,509,691,48,1248
062701101,550,732,58,1340
062701102,11,21,0,32
062701103,19,38,6,63
062701104,106,218,16,340
062701105,8,25,1,34
062740101,370,862,33,1265
062740102,309,673,22,1004
062740103,192,448,7,647
062740104,204,415,5,624
062740105,509,1000,35,1544
062740106,316,571,20,907
062740107,241,530,12,783
062740108,153,333,7,493
062740109,295,564,12,871
062740110,258,571,9,838
062740111,240,621,26,887
062740112,242,583,20,845
062740113,547,980,69,1596
062740114,275,540,21,836
062740115,562,1142,52,1756
062740201,352,849,16,1217
062740202,402,837,27,1266
062740203,475,883,42,1400
062740204,244,587,13,844
062740205,395,678,19,1092
062740206,453,1076,32,1561
062740207,321,681,35,1037
062740208,339,647,34,1020
062740209,286,592,22,900
062740210,434,691,20,1145
062740211,505,993,60,1558
062740212,341,726,38,1105
062740213,387,707,24,1118
062740214,366,825,34,1225
062740215,357,846,13,1216
062740301,451,776,24,1251
062740302,324,580,25,929
062740303,295,478,17,790
062740304,584,1035,50,1669
062740305,518,878,22,1418
062740306,237,474,7,718
062740307,511,970,40,1521
062740308,342,664,25,1031
062740309,337,603,18,958
062740310,401,833,41,1275
062740311,377,749,25,1151
062740312,598,907,47,1552
062740313,505,848,46,1399
062740314,482,773,47,1302
062740315,277,625,34,936
062740316,340,659,27,1026
062740401,402,800,39,1241
062740402,479,893,50,1422
062740403,459,831,56,1346
062740404,533,756,53,1342
062740405,405,614,38,1057
062740406,333,671,30,1034
062740407,319,602,33,954
062740408,267,506,29,802
062740409,589,865,43,1497
062740410,411,736,50,1197
062740411,386,616,36,1038
062740412,705,1006,81,1792
062740413,431,733,42,1206
062740414,548,578,62,1188
062740415,451,796,48,1295
062740416,430,643,51,1124
062740417,397,670,40,1107
062740501,268,553,13,834
062740502,319,549,22,890
062740503,347,566,26,939
062740504,390,765,38,1193
062740505,345,527,38,910
062740506,289,502,30,821
062740507,442,720,50,1212
062740508,532,720,28,1280
062740509,333,569,24,926
062740510,362,637,29,1028
062740511,388,763,22,1173
062740512,433,726,31,1190
062740513,350,672,37,1059
062740514,565,754,44,1363
062740515,534,744,35,1313
062740516,395,611,32,1038
062740601,495,870,29,1394
062740602,352,596,24,972
062740603,362,651,25,1038
062740604,306,633,22,961
062740605,471,854,32,1357
062740606,529,814,37,1380
062740607,374,528,20,922
062740608,291,549,31,871
062740609,307,569,25,901
062740610,267,573,23,863
062740611,367,534,31,932
062740612,344,585,18,947
062740613,324,527,35,886
062740614,339,579,31,949
062740615,557,802,66,1425
062740616,338,455,40,833
062740617,454,595,42,1091
062740618,405,513,51,969
062740619,306,420,40,766
062740620,668,755,73,1496
062740701,218,353,13,584
062740702,293,590,34,917
062740703,472,593,49,1114
062740704,439,614,43,1096
062740705,404,647,25,1076
062740706,568,772,56,1396
062740707,507,773,67,1347
062740708,546,855,72,1473
062740709,446,749,40,1235
062740710,463,637,27,1127
062740711,331,480,26,837
062740712,391,589,29,1009
062740713,558,726,40,1324
062740801,262,361,23,646
062740802,315,532,27,874
062740803,182,545,18,745
062740804,349,525,24,898
062740805,283,487,13,783
062740806,238,395,10,643
062740807,511,762,32,1305
062740808,316,512,22,850
062740809,352,495,54,901
062740810,484,646,87,1217
062740811,371,501,46,918
062740812,382,507,51,940
062740813,579,835,127,1541
062740814,391,755,35,1181
062740815,429,676,37,1142
062740816,342,613,20,975
062740817,383,488,46,917
062740818,417,639,51,1107
062740819,400,670,61,1131
062740820,482,719,80,1281
062740901,372,713,85,1170
062740902,434,584,89,1107
062740903,379,673,100,1152
062740904,420,606,57,1083
062740905,332,553,62,947
062740906,504,865,94,1463
062740907,330,480,30,840
062740908,272,432,34,738
062740909,223,436,15,674
062740910,393,702,22,1117
062740911,312,476,47,835
062740912,304,498,40,842
062740913,345,547,40,932
062740914,362,533,66,961
062740915,566,889,87,1542
062740916,311,504,32,847
062740917,409,607,60,1076
062740918,403,590,42,1035
062740919,462,692,108,1262
062740920,469,731,82,1282
062740921,469,693,70,1232
062740922,356,589,62,1007
062741001,414,700,69,1183
062741002,373,575,78,1026
062741003,502,902,63,1467
062741004,359,614,46,1019
062741005,302,511,26,839
062741006,385,499,41,925
062741007,471,781,60,1312
062741008,553,744,29,1326
062741009,440,559,33,1032
062741010,326,622,63,1011
062741011,248,438,38,724
062741012,368,671,79,1118
062741013,199,324,28,551
062741014,322,493,83,898
062741015,1094,2905,146,4145
062741101,277,624,25,926
062741102,364,731,24,1119
062741103,366,695,25,1086
062741104,337,680,33,1050
062741105,477,983,46,1506
062741106,689,1323,70,2082
062741107,407,714,41,1162
062741108,344,736,37,1117
062741109,668,1154,72,1894
062741110,659,1172,81,1912
062741111,343,566,44,953
062741112,391,626,55,1072
062741113,434,586,61,1081
062741114,411,651,69,1131
062741115,428,653,39,1120
062741116,393,611,36,1040
062741117,500,852,74,1426
062741118,330,634,46,1010
062741201,451,916,25,1392
062741202,299,513,26,838
062741203,332,656,16,1004
062741204,183,446,17,646
062741205,179,427,6,612
062741206,177,470,22,669
062741207,257,509,20,786
062741208,523,955,41,1519
062741209,454,899,61,1414
062741210,388,654,28,1070
062741211,443,813,39,1295
062741212,521,893,62,1476
062741213,254,537,35,826
062741214,274,518,33,825
062741215,493,781,44,1318
062741216,472,661,48,1181
062741217,399,716,37,1152
062741301,421,807,38,1266
062741302,190,413,14,617
062741303,251,458,13,722
062741304,258,507,18,783
062741305,277,535,28,840
062741306,578,728,42,1348
062741307,318,553,28,899
062741308,272,523,16,811
062741309,366,645,38,1049
062741310,233,519,27,779
062741311,278,570,15,863
062741312,353,816,23,1192
062741313,150,354,3,507
062741314,156,373,3,532
062741315,147,418,7,572
062741316,237,542,13,792
062741317,455,896,32,1383
062741401,385,861,12,1258
062741402,276,690,13,979
062741403,138,387,2,527
062741404,226,547,16,789
062741405,313,720,13,1046
062741406,134,356,3,493
062741407,169,441,6,616
062741408,270,599,3,872
062741409,264,738,15,1017
062741410,203,573,5,781
062741411,304,714,19,1037
062741501,448,741,72,1261
062741502,413,695,55,1163
062741503,290,632,22,944
062741504,482,970,53,1505
062741505,249,455,18,722
062741506,217,500,20,737
062741507,332,678,36,1046
062741508,314,663,24,1001
062741509,269,590,36,895
062741510,508,940,57,1505
062741511,252,564,26,842
062741512,332,535,24,891
062741513,348,665,44,1057
062741514,307,569,20,896
062741515,240,544,10,794
062741516,330,773,27,1130
062741517,483,840,53,1376
062741518,445,902,34,1381
062741601,517,823,76,1416
062741602,587,907,78,1572
062741603,563,815,55,1433
062741604,718,1056,86,1860
062741605,282,556,14,852
062741606,370,719,24,1113
062741607,349,614,25,988
062741608,323,634,29,986
062741609,277,521,29,827
062741610,433,649,72,1154
062741611,229,554,34,817
062741612,320,660,28,1008
062741613,430,861,56,1347
062741614,335,670,56,1061
062741701,207,468,18,693
062741702,281,494,18,793
062741703,348,673,33,1054
062741704,365,710,46,1121
062741705,342,623,47,1012
062741706,422,672,49,1143
062741707,270,515,26,811
062741708,186,511,11,708
062741709,365,676,28,1069
062741710,423,706,44,1173
062741711,263,503,22,788
062741712,328,537,26,891
062741713,358,763,25,1146
062741714,381,834,28,1243
062741801,586,1015,63,1664
062741802,368,638,55,1061
062741803,309,637,40,986
062741804,400,519,27,946
062741805,437,531,35,1003
062741806,758,875,60,1693
062741807,679,834,46,1559
062741808,514,487,31,1032
062741809,539,630,51,1220
062741810,582,641,62,1285
062741811,571,831,78,1480
062741812,254,393,51,698
062741813,428,636,60,1124
062741814,348,538,49,935
062741815,277,467,35,779
062741816,543,868,70,1481
062741817,485,800,56,1341
062741818,665,963,63,1691
062741901,426,624,26,1076
062741902,524,895,52,1471
062741903,465,648,44,1157
062741904,500,931,54,1485
062741905,773,1009,89,1871
062741906,585,812,67,1464
062741907,636,937,79,1652
062741908,355,452,47,854
062741909,316,489,44,849
062741910,594,1022,72,1688
062741911,605,1053,91,1749
062741912,545,859,85,1489
062741913,389,569,43,1001
062742001,661,910,116,1687
062742002,591,808,99,1498
062742003,431,733,58,1222
062742004,890,1316,131,2337
062742005,618,1010,100,1728
062742006,508,922,72,1502
062742007,730,1209,87,2026
062742008,403,672,63,1138
062742009,387,629,54,1070
062742010,332,686,62,1080
062742011,405,693,58,1156
062742012,471,771,67,1309
062742013,594,835,80,1509
062742014,98,110,21,229
062742015,15,25,4,44
062742016,462,553,95,1110
062742101,186,442,14,642
062742102,262,438,7,707
062742103,491,893,55,1439
062742104,466,711,62,1239
062742105,782,718,76,1576
062742106,1022,846,86,1954
062742107,935,817,119,1871
062742108,939,806,102,1847
062742109,419,551,58,1028
062742110,315,562,39,916
062742111,329,555,29,913
062742112,279,495,59,833
062742113,559,764,46,1369
062742114,357,695,42,1094
062742115,522,919,56,1497
062742116,293,558,28,879
062742117,526,813,70,1409
062742118,478,778,39,1295
062742119,391,737,46,1174
062742120,272,486,26,784
062742121,230,496,33,759
062742122,340,586,33,959
062742123,422,621,41,1084
062742201,300,533,41,874
062742202,344,554,67,965
062742203,597,936,64,1597
062742204,300,597,54,951
062742205,330,539,61,930
062742206,458,668,68,1194
062742207,55,90,6,151
062742208,110,196,18,324
062742209,190,291,27,508
062742210,448,665,59,1172
062742211,543,788,85,1416
062742212,308,458,56,822
063710101,454,753,30,1237
063710102,269,614,30,913
063710103,505,907,39,1451
063710104,266,507,10,783
063710105,221,430,17,668
063710106,255,333,18,606
063710107,154,196,22,372
063710108,185,245,22,452
063710109,439,760,35,1234
063710110,627,982,83,1692
063710111,23,45,3,71
063710201,401,896,21,1318
063710202,466,815,17,1298
063710203,299,853,21,1173
063710204,442,866,34,1342
063710205,683,1084,47,1814
063710206,282,739,18,1039
063710207,182,578,12,772
063710208,219,611,18,848
063710209,272,862,14,1148
063710210,340,863,23,1226
063710211,233,565,24,822
063710212,185,558,16,759
063710301,288,913,28,1229
063710302,227,559,5,791
063710303,147,362,3,512
063710304,382,1054,15,1451
063710305,258,730,10,998
063710306,279,788,32,1099
063710307,257,687,17,961
063710308,337,886,18,1241
063710309,377,683,34,1094
063710310,247,545,22,814
063710311,300,800,30,1130
063710312,131,281,9,421
063710313,165,493,14,672
063710314,160,474,11,645
063710315,251,706,27,984
063710401,347,959,22,1328
063710402,311,726,14,1051
063710403,225,508,16,749
063710404,162,432,9,603
063710405,265,727,11,1003
063710406,334,890,13,1237
063710407,268,752,12,1032
063710408,151,381,5,537
063710501,264,629,6,899
063710502,291,724,9,1024
063710503,119,362,5,486
063710504,180,483,3,666
063710505,224,515,6,745
063710506,274,799,9,1082
063710507,246,549,6,801
063710508,160,443,14,617
063710509,334,788,17,1139
063710510,318,831,12,1161
063710601,193,466,9,668
063710602,193,541,8,742
063710603,289,616,18,923
063710604,160,511,4,675
063710605,232,533,5,770
063710606,265,602,12,879
063710607,247,655,10,912
063710608,273,517,8,798
063710609,504,844,46,1394
063710610,518,895,53,1466
063710611,526,964,45,1535
063710612,241,628,14,883
063710701,228,660,13,901
063710702,576,1187,39,1802
063710703,329,825,23,1177
063710704,469,781,30,1280
063710705,370,632,20,1022
063710706,458,980,37,1475
063710707,611,1031,40,1682
063710708,184,496,10,690
063710709,313,796,11,1120
063710710,168,442,4,614
063710711,198,479,4,681
063710712,240,675,5,920
063710713,248,520,13,781
063710801,418,927,48,1393
063710802,328,780,5,1113
063710803,246,675,6,927
063710804,286,643,6,935
063710805,191,624,10,825
063710806,394,831,19,1244
063710807,182,574,1,757
063710808,253,748,6,1007
063710809,288,738,7,1033
063710810,253,677,9,939
063710811,213,665,4,882
063710812,333,661,13,1007
063710901,309,826,14,1149
063710902,292,805,5,1102
063710903,220,550,5,775
063710904,186,456,6,648
063710905,265,619,10,894
063710906,362,1030,26,1418
063710907,257,698,7,962
063710908,291,781,9,1081
063710909,320,799,7,1126
063710910,275,759,8,1042
063710911,140,369,3,512
063710912,191,462,8,661
063710913,187,509,7,703
063710914,262,713,9,984
063710915,150,427,11,588
063710916,146,452,5,603
063710917,254,716,18,988
063711001,223,586,8,817
063711002,281,767,7,1055
063711003,256,714,5,975
063711004,163,373,4,540
063711005,228,420,3,651
063711006,332,740,7,1079
063711007,316,864,15,1195
063711008,212,584,4,800
063711009,239,588,4,831
063711010,284,664,12,960
063711011,232,570,12,814
063711012,103,236,8,347
063711013,365,907,20,1292
063711014,212,587,10,809
063711015,228,669,7,904
063711016,154,395,1,550
063711101,194,497,2,693
063711102,164,473,7,644
063711103,185,568,2,755
063711104,177,507,1,685
063711105,139,405,6,550
063711106,123,380,4,507
063711107,256,712,4,972
063711108,144,382,4,530
063711109,120,352,2,474
063711110,312,785,13,1110
063711201,316,714,5,1035
063711202,234,549,5,788
063711203,168,387,6,561
063711204,305,742,6,1053
063711205,137,372,3,512
063711206,117,374,3,494
063711207,228,568,9,805
063711208,336,830,2,1168
063711209,162,487,3,652
063711210,157,467,0,624
063711301,295,668,8,971
063711302,265,659,10,934
063711303,337,834,10,1181
063711304,325,636,6,967
063711305,268,659,11,938
063711306,356,720,10,1086
063711307,271,820,21,1112
063711308,226,638,3,867
063711309,315,881,10,1206
063711310,332,810,10,1152
063711311,282,613,2,897
063711312,368,696,6,1070
063711401,375,756,38,1169
063711402,214,601,9,824
063711403,173,399,11,583
063711404,366,523,28,917
063711405,248,441,23,712
063711406,548,752,66,1366
063711407,323,403,70,796
063711408,375,482,69,926
063711409,331,492,53,876
063711410,301,512,30,843
063711411,262,593,10,865
063711412,249,566,12,827
063711413,190,549,12,751
063711414,362,609,125,1096
063711501,105,176,8,289
063711502,311,551,53,915
063711503,508,866,61,1435
063711504,184,366,15,565
063711505,696,1575,92,2363
063711506,497,839,92,1428
063711507,297,416,46,759
063711508,291,385,19,695
063711509,190,397,38,625
063711510,123,270,22,415
063711511,377,847,19,1243
063711512,327,653,17,997
063711513,297,510,24,831
063711514,298,598,26,922
063711601,379,460,56,895
063711602,268,425,22,715
063711603,259,378,36,673
063711604,425,760,58,1243
063711605,90,276,14,380
063711606,183,428,20,631
063711607,188,508,4,700
063711608,281,743,16,1040
063711609,283,733,36,1052
063711610,258,543,14,815
063711611,286,636,20,942
063711612,64,204,26,294
063711613,296,746,8,1050
063711614,234,607,7,848
063711701,279,745,14,1038
063711702,263,656,4,923
063711703,339,550,10,899
063711704,297,634,8,939
063711705,214,536,3,753
063711706,232,643,5,880
063711707,232,591,5,828
063711708,270,549,7,826
063711709,248,615,10,873
063711710,398,851,12,1261
063711711,236,737,4,977
063711712,219,530,10,759
063711713,338,741,12,1091
063711714,259,708,18,985
063711801,298,794,9,1101
063711802,178,423,4,605
063711803,236,676,2,914
063711804,264,704,8,976
063711805,277,681,5,963
063711806,311,762,5,1078
063711807,345,751,5,1101
063711808,224,609,6,839
063711809,209,551,15,775
063711810,227,447,11,685
063711811,313,872,6,1191
063711812,197,496,3,696
063711813,394,949,19,1362
063711814,407,948,15,1370
063711815,392,952,17,1361
063711901,148,385,5,538
063711902,170,480,3,653
063711903,260,512,1,773
063711904,218,606,4,828
063711905,248,651,4,903
063711906,202,571,13,786
063711907,279,713,6,998
063711908,260,633,6,899
063711909,292,687,4,983
063712001,286,691,9,986
063712002,307,778,12,1097
063712003,250,594,9,853
063712004,310,769,12,1091
063712005,181,586,9,776
063712006,295,731,2,1028
063712007,312,845,6,1163
063712008,173,449,6,628
063712101,307,741,5,1053
063712102,345,711,4,1060
063712103,135,420,6,561
063712104,126,328,1,455
063712105,357,838,10,1205
063712106,113,245,10,368
063712107,260,563,19,842
063712108,336,740,15,1091
063712109,186,617,2,805
063712110,264,644,5,913
063712111,255,750,9,1014
063712112,178,435,1,614
063712113,221,556,2,779
063712114,232,578,8,818
063712115,312,617,13,942
063712201,225,597,7,829
063712202,177,528,1,706
063712203,204,583,16,803
063712204,226,552,5,783
063712205,152,400,3,555
063712206,115,313,5,433
063712207,244,657,9,910
063712208,153,376,3,532
063712209,131,272,3,406
063712210,114,315,4,433
063712211,78,190,1,269
063712212,118,331,4,453
063712213,165,374,1,540
063712214,128,403,5,536
063712301,184,550,4,738
063712302,367,833,7,1207
063712303,93,246,2,341
063712304,157,380,3,540
063712305,105,373,4,482
063712306,197,472,3,672
063712307,179,498,5,682
063712308,264,580,4,848
063712309,131,427,2,560
063712310,95,331,5,431
063712311,239,469,11,719
063712312,206,418,6,630
063712313,202,478,5,685
063712314,235,620,12,867
063712315,330,896,9,1235
063712316,329,858,9,1196
063712317,234,530,6,770
063712401,299,753,14,1066
063712402,213,453,7,673
063712403,280,837,12,1129
063712404,118,364,5,487
063712405,174,413,10,597
063712406,171,411,8,590
063712407,169,445,4,618
063712408,151,427,7,585
063712501,211,561,5,777
063712502,192,733,4,929
063712503,131,391,4,526
063712504,265,626,6,897
063712505,280,695,7,982
063712506,236,642,17,895
063712507,223,699,8,930
063712508,205,586,9,800
063712601,249,768,11,1028
063712602,186,584,4,774
063712603,267,656,6,929
063712604,253,663,11,927
063712605,177,429,5,611
063712606,273,732,12,1017
063712607,188,504,6,698
063712608,185,529,8,722
063712701,177,483,2,662
063712702,256,704,17,977
063712703,484,1155,34,1673
063712704,347,709,6,1062
063712705,244,618,8,870
063712706,133,365,12,510
063712707,105,420,2,527
063712708,173,436,6,615
063712801,236,365,17,618
063712802,28,90,1,119
063712803,25,58,3,86
063712804,81,219,4,304
063712805,53,130,4,187
063712806,331,578,40,949
063712807,70,176,2,248
063712808,215,767,6,988
063712901,213,536,3,752
063712902,125,352,1,478
063712903,151,446,5,602
063712904,217,638,17,872
063712905,317,840,8,1165
063712906,136,374,6,516
063712907,407,1015,19,1441
063712908,530,1268,19,1817
063712909,261,649,4,914
063713001,219,593,16,828
063713002,355,805,22,1182
063713003,286,755,11,1052
063713004,197,524,9,730
063713005,199,601,9,809
063713006,285,856,20,1161
063713007,162,428,3,593
063713008,191,468,2,661
063713009,233,562,9,804
063713010,185,281,8,474
063713011,222,603,9,834
063713101,260,695,9,964
063713102,186,432,7,625
063713103,319,831,18,1168
063713104,123,327,13,463
063713105,220,620,11,851
063713106,343,920,2,1265
063713107,254,566,5,825
063713108,258,601,9,868
063713201,130,112,5,247
063713202,449,918,20,1387
063713203,422,801,25,1248
063713204,343,829,28,1200
063713205,371,715,23,1109
063713206,214,716,14,944
063713207,256,605,12,873
063713208,435,951,49,1435
063713209,181,494,5,680
063713210,388,956,29,1373
063713211,396,888,35,1319
063713212,371,730,49,1150
063713213,313,805,32,1150
063713214,479,1004,38,1521
063713215,256,602,16,874
063713301,310,553,42,905
063713302,626,833,51,1510
063713303,412,901,11,1324
063713304,252,663,17,932
063713305,324,886,23,1233
063713306,347,920,15,1282
063713307,287,697,15,999
063713308,191,554,13,758
063713309,294,730,20,1044
063713310,125,356,5,486
063713401,196,541,4,741
063713402,347,779,23,1149
063713403,126,308,3,437
063713404,202,475,5,682
063713405,477,991,50,1518
063713406,238,599,11,848
063713407,293,689,12,994
063713408,281,694,11,986
063713409,169,499,8,676
063713501,343,806,12,1161
063713502,188,471,13,672
063713503,268,533,11,812
063713504,209,517,8,734
063713505,209,561,12,782
063713506,286,789,27,1102
063713507,63,72,5,140
063713508,97,122,3,222
063713509,74,83,3,160
063713510,295,622,19,936
063713511,567,898,35,1500
063713512,340,721,18,1079
063713513,299,715,17,1031
063713514,217,485,22,724
063713601,741,1408,67,2216
063713602,350,763,30,1143
063713603,544,956,33,1533
063713604,556,1155,52,1763
063713605,231,719,5,955
063713606,300,713,13,1026
063713607,431,900,33,1364
063713608,273,714,13,1000
063713609,441,1087,18,1546
063713610,275,744,16,1035
063713611,298,845,16,1159
063713701,340,572,35,947
063713702,439,742,59,1240
063713703,247,445,31,723
063713704,194,266,8,468
063713705,269,367,20,656
063713706,249,486,33,768
063713707,441,1042,35,1518
063713708,763,1302,69,2134
063713709,529,1112,46,1687
063713710,577,905,47,1529
063713711,653,914,57,1624
063713712,471,744,40,1255
063713713,491,982,32,1505
063713714,417,810,31,1258
063713715,365,912,39,1316
063713716,461,1033,48,1542
064080101,302,748,14,1064
064080102,241,537,1,779
064080103,316,723,5,1044
064080104,316,745,5,1066
064080105,395,798,16,1209
064080106,168,416,5,589
064080107,349,808,7,1164
064080108,389,910,33,1332
064080109,423,954,21,1398
064080110,211,483,11,705
064080111,557,1122,23,1702
064080112,366,888,21,1275
064080113,387,869,17,1273
064080114,45,66,1,112
064080115,78,215,1,294
064080116,224,341,3,568
064080117,251,714,16,981
064080201,370,671,19,1060
064080202,359,757,19,1135
064080203,320,807,22,1149
064080204,371,819,28,1218
064080205,192,474,5,671
064080206,239,621,8,868
064080207,371,854,18,1243
064080208,529,993,28,1550
064080209,468,1040,26,1534
064080210,396,952,26,1374
064080211,280,691,14,985
064080301,141,224,8,373
064080302,100,209,7,316
064080303,450,830,25,1305
064080304,286,663,21,970
064080305,261,625,20,906
064080306,336,741,11,1088
064080307,509,1177,32,1718
064080308,697,1436,52,2185
064080309,300,656,19,975
064080310,225,496,9,730
064080401,550,916,41,1507
064080402,801,1337,51,2189
064080403,302,602,27,931
064080404,584,1135,45,1764
064080405,404,754,24,1182
064080406,315,609,25,949
064080407,447,914,39,1400
064080408,730,1161,38,1929
064080409,433,848,27,1308
064080410,574,1215,20,1809
064080411,331,711,27,1069
064080412,337,814,29,1180
064080501,241,602,21,864
064080502,322,730,39,1091
064080503,351,772,28,1151
064080504,333,710,27,1070
064080505,168,286,10,464
064080506,265,495,37,797
064080507,302,583,18,903
064080508,281,621,19,921
064080509,313,694,18,1025
064080510,219,543,17,779
064080511,270,527,5,802
064080512,240,485,13,738
064080601,343,855,4,1202
064080602,162,383,5,550
064080603,276,702,5,983
064080604,239,548,2,789
064080605,299,743,2,1044
064080606,82,215,3,300
064080607,314,672,8,994
064080608,255,553,4,812
064080609,236,700,6,942
064080701,294,662,6,962
064080702,289,586,16,891
064080703,257,575,35,867
064080704,342,847,23,1212
064080705,260,718,8,986
064080706,248,610,7,865
064080707,82,184,0,266
064080708,267,659,7,933
064080709,202,436,7,645
064080710,264,524,13,801
064080801,350,713,19,1082
064080802,358,702,20,1080
064080803,207,442,7,656
064080804,168,405,8,581
064080805,208,480,9,697
064080806,284,645,31,960
064080807,249,579,4,832
064080808,244,621,9,874
064080809,217,518,6,741
064080810,281,680,28,989
064080811,358,760,25,1143
064080812,232,448,9,689
064080813,300,550,16,866
064080814,429,995,26,1450
064080901,302,768,17,1087
064080902,233,467,9,709
064080903,228,605,11,844
064080904,188,518,6,712
064080905,248,734,9,991
064080906,279,699,5,983
064080907,430,972,8,1410
064080908,319,793,9,1121
064081001,289,663,11,963
064081002,266,642,18,926
064081003,424,878,21,1323
064081004,303,759,12,1074
064081005,390,925,12,1327
064081006,309,651,14,974
064081007,344,907,24,1275
064081008,201,512,12,725
064081101,287,610,10,907
064081102,309,715,22,1046
