radio,1 Urbano,2 Rural agrupado,3 Rural disperso,TOTAL
020020805,654,0,0,654
020020806,890,0,0,890
020020807,991,0,0,991
020020808,493,0,0,493
020020901,592,0,0,592
020020902,319,0,0,319
020020903,682,0,0,682
020020904,617,0,0,617
020020905,713,0,0,713
020020906,679,0,0,679
020020907,714,0,0,714
020020908,898,0,0,898
020020909,781,0,0,781
020021001,736,0,0,736
020021002,553,0,0,553
020021003,327,0,0,327
020021004,492,0,0,492
020021005,672,0,0,672
020021006,403,0,0,403
020021007,713,0,0,713
020021008,624,0,0,624
020021009,407,0,0,407
020021101,900,0,0,900
020021102,307,0,0,307
020021103,975,0,0,975
020021104,882,0,0,882
020021105,231,0,0,231
020021106,499,0,0,499
020021201,593,0,0,593
020021202,568,0,0,568
020021203,595,0,0,595
020021204,1003,0,0,1003
020021205,828,0,0,828
020021206,655,0,0,655
020021301,887,0,0,887
020021302,573,0,0,573
020021303,718,0,0,718
020021304,742,0,0,742
020021305,889,0,0,889
020021306,566,0,0,566
020021307,888,0,0,888
020021401,372,0,0,372
020021402,426,0,0,426
020021403,262,0,0,262
020021404,539,0,0,539
020021405,622,0,0,622
020021406,734,0,0,734
020021407,489,0,0,489
020021408,566,0,0,566
020021409,894,0,0,894
020021410,814,0,0,814
020021501,365,0,0,365
020021502,589,0,0,589
020021503,931,0,0,931
020021504,457,0,0,457
020021505,416,0,0,416
020021506,441,0,0,441
020021507,523,0,0,523
020021508,487,0,0,487
020021601,497,0,0,497
020021602,434,0,0,434
020021603,506,0,0,506
020021604,679,0,0,679
020021605,572,0,0,572
020021606,466,0,0,466
020021607,454,0,0,454
020021608,394,0,0,394
020021701,868,0,0,868
020021702,565,0,0,565
020021703,765,0,0,765
020021704,394,0,0,394
020021705,592,0,0,592
020021706,692,0,0,692
020021707,939,0,0,939
020021708,724,0,0,724
020021709,560,0,0,560
020021801,659,0,0,659
020021802,868,0,0,868
020021803,734,0,0,734
020021804,451,0,0,451
020021805,334,0,0,334
020021806,516,0,0,516
020021807,362,0,0,362
020021808,550,0,0,550
020021901,570,0,0,570
020021902,425,0,0,425
020021903,400,0,0,400
020021904,690,0,0,690
